tconst;tmdb_id;acteur_principal_;actor_image_url
tt0053666;27419;Bernadette Lafont;https://image.tmdb.org/t/p/w500/tbd5JYZqZw0Afu5b5kDOrr9DqLk.jpg
tt0053672;18977;Charles Herbert;https://image.tmdb.org/t/p/w500/sAygzGPy4JPLGr5pNwwUY3j4idL.jpg
tt0053673;136967;Richard Burton;https://image.tmdb.org/t/p/w500/j8yRSo6S2bnYubKZTBUvD7fuOyX.jpg
tt0053675;52003;Sophia Loren;https://image.tmdb.org/t/p/w500/lxhkn933v8EuBHvfTWSS5SQQnJ4.jpg
tt0053683;14116;Norman Wisdom;https://image.tmdb.org/t/p/w500/pF2FKj6me3XuAw69EIk7JrQL0St.jpg
tt0053690;33726;Frank Sinatra;https://image.tmdb.org/t/p/w500/dafKPsivu50RdChBSrgGmMRenYt.jpg
tt0053695;4732;Jean Marais;https://image.tmdb.org/t/p/w500/cixkEqevNXJVy7u666VcgyrdQSZ.jpg
tt0053696;56268;Jean Marais;https://image.tmdb.org/t/p/w500/cixkEqevNXJVy7u666VcgyrdQSZ.jpg
tt0053699;21240;Sidney James;https://image.tmdb.org/t/p/w500/cjldtyJMt8J0nuWwVIuBSn0o70w.jpg
tt0053703;188987;Fernandel;https://image.tmdb.org/t/p/w500/eiiPLZPZ0XilcexB5eNOWEbbcrm.jpg
tt0053704;67418;Anna Karina;https://image.tmdb.org/t/p/w500/oSYtIsMpV8sZD6opNrOnWsspR0D.jpg
tt0053714;114507;William Dexter;https://raw.githubusercontent.com/Ptit-Lulu/Projet2_Cinema_Creuse/Machine_Learning/pages/Image_non_disponible.jpg
tt0053715;46623;Glenn Ford;https://image.tmdb.org/t/p/w500/d6Vk69m5NAgMSgo4LmDm748wwm7.jpg
tt0053716;18973;Jerry Lewis;https://image.tmdb.org/t/p/w500/3TpijSL83yJYvEurLjCnIU44Fr9.jpg
tt0053726;117781;Zizi Jeanmaire;https://image.tmdb.org/t/p/w500/osNyBaTbKYURQbV5rLTq5VDpA83.jpg
tt0053732;73898;Lilli Palmer;https://image.tmdb.org/t/p/w500/n34gwTvKpvHF1r8KMrjtxMdK0N7.jpg
tt0053738;70440;Fernandel;https://image.tmdb.org/t/p/w500/eiiPLZPZ0XilcexB5eNOWEbbcrm.jpg
tt0053740;30784;Stanley Baker;https://image.tmdb.org/t/p/w500/gpQD0tetGSWWTQvr3xphHs5H6Xs.jpg
tt0053742;94510;Dana Andrews;https://image.tmdb.org/t/p/w500/gTZaqIS441ejTsQmfZff6SHvWja.jpg
tt0053749;53470;Louis de Funès;https://image.tmdb.org/t/p/w500/8R8WVggSEKxxT4n2HRKHjxHrIQZ.jpg
tt0053752;86225;Aldo Ray;https://image.tmdb.org/t/p/w500/x00IKE88CleZRaUg6lPtyx2xyYW.jpg
tt0053769;133845;Jean-Paul Belmondo;https://image.tmdb.org/t/p/w500/hXAM7zTXGWVAv0VLGGrnxAJJbca.jpg
tt0053775;68334;Michael Craig;https://image.tmdb.org/t/p/w500/uJcPCgWxNkJPY07DtO2bHtjpF5m.jpg
tt0053779;439;Marcello Mastroianni;https://image.tmdb.org/t/p/w500/bfLnFfNfMC73Q7WW90xQy2PvRZm.jpg
tt0053793;22013;Burt Lancaster;https://image.tmdb.org/t/p/w500/hQBgFAdk1BrSum7LN4B67m3gj0U.jpg
tt0053796;18929;Laurence Olivier;https://image.tmdb.org/t/p/w500/kziWbtgEJB0dFZA6kPyzoaYEyQ5.jpg
tt0053800;168408;Joan Collins;https://image.tmdb.org/t/p/w500/jmXqOnp2xBDl2EMuU5Rj39uHzUQ.jpg
tt0053804;1941;Paul Newman;https://image.tmdb.org/t/p/w500/bP2fByqNR7BorsUNuD6nSm0u2vJ.jpg
tt0053810;39219;Bob Hope;https://image.tmdb.org/t/p/w500/4TNYeks5q1dNKszFxOmL4pCjEvn.jpg
tt0053814;142379;Anouk Aimée;https://image.tmdb.org/t/p/w500/v537GNBKbRJAW0dqVu5BiEChqu0.jpg
tt0053825;18639;Elvis Presley;https://image.tmdb.org/t/p/w500/psf1wJUw48ALsfV3tN31FX0mDW5.jpg
tt0053833;98302;Jacques Bernard;https://image.tmdb.org/t/p/w500/6Xs6YkXSCspVYbTgUQizb1A8vxC.jpg
tt0053839;135065;Cecil Parker;https://image.tmdb.org/t/p/w500/bKRahLwOtk2EPYrE50zGjeZYsIO.jpg
tt0053841;42541;Paul Newman;https://image.tmdb.org/t/p/w500/bP2fByqNR7BorsUNuD6nSm0u2vJ.jpg
