genre_1;Genre_fr
Comedy;Comédie
Drama;Drame
Crime;Policier
Mystery;Mystère
Biography;Biographie
Adventure;Aventure
Action;Action
Documentary;Documentaire
Western;Western
Musical;Comédie musicale
Thriller;Thriller
Sci-Fi;Science-fiction
Animation;Animation
War;Guerre
Family;Familial
Romance;Romance
Fantasy;Fantastique
Music;Musique
History;Historique
